Name,Price,Comments,Author,Publish Date,Publisher
 Flipped 英文原版 怦然心动 英文 进口图书（韩寒推荐电影《怦然心动》同名原著 你，从未忘记你的,22.40,49234条评论,WendelinVanDraanen温德林・凡・德雷宁,2001-01-01,Knopf Books for Young Readers
 哈利波特1-7英语原版 全集英文原版书籍harry potter英语全套英国小说正版jk罗琳哈利波特与魔法石名著 送哈利,328.00,49914条评论,J. K Rowling,2020-12-01,Bloomsbury Publishing PLC
 现货 哈利波特套装 英文原版1-7全集 Harry Potter Box Set 英国版 JK罗琳哈利波特系列小说套装,310.00,10335条评论,J. K. Rowling,2014-10-09,Bloomsbury Publishing PLC
 追风筝的人英文原版小说 英文版The Kite Runner英文原版 进口图书 胡赛尼 处女作 销售榜前列 灿烂千阳群山,17.80,25214条评论,胡赛尼(Khaled Hosseini),2013-07-03,Penguin USA
 杀死一只知更鸟 英文原版小说 进口图书 英文版 英文原版 To Kill a Mockingbird Harper Le,34.00,28445条评论,HarpeLee,1988-10-11,Grand Central Publishing
 【中商原版】相约星期二 英文原版 Tuesdays With Morrie 英文版 进口正版,23.00,14357条评论,米奇?阿尔博姆 (Mitch Albom),1999-01-31,Bantam Doubleday Dell Publishing Group
 奇迹男孩英文版原版wonder R.J. Palacio Corgi 帕拉秋 少年小说 奥斯卡提名 奇迹 温馨励志 同名,22.00,26040条评论,[,2013-01-01,Random House
 【中商原版】傲慢与偏见 英文原版 Pride and Prejudice Jane Austen 简奥斯汀 世界名著 经,18.00,7683条评论,Jane Austen,1983-12-01,Bantam Classics
 英文原版 哈利波特与密室 Harry Potter and the Chamber of Secrets 哈利波特 2,35.00,6656条评论,"Rowling, J. K.",2014-09-01,Bloomsbury Publishing PLC
 【中商原版】动物农场庄园 英文原版 Animal Farm George Orwell 乔治奥威尔 经典英文原版名著,24.00,9694条评论,eorge Orwell,1996-01-01,Signet Classics
 杀死一只知更鸟英语版 To Kill a Mocking bird进口英文原版小说书搭flipped相约星期二追风筝的人,31.00,2656条评论,Harper Lee,2019-03-21,Random
 【中商原版】小妇人英文原版小说英文版Little Women Signet Classics 英文原版书 进口书进口经典,21.00,5768条评论,Louisa May Alcott,1983-04-01,Bantam Classics
 【包邮】福尔摩斯英文原版小说 探案全集英语原版书籍全套 正版Sherlock Holmes 夏洛克经典名著大侦探悬疑推理,45.00,3842条评论,Arthur Conan Doyle,2003-05-09,Bantam Classic
 无人生还 英文原版小说And Then There Were None阿加莎克里斯蒂Agatha Christie进口原,33.80,1210条评论,Agatha Christie,2020-10-03,HarperCollins
 福尔摩斯探案全集英文原版小说 青少年小说 英文版 侦探小说 Sherlock Holmes福尔摩斯英文原版书 进口小说原,34.00,21321条评论,Sir Arthur Conan Doyle,1986-10-01,Bantam Classics
 现货 马斯克自传 英文原版 Elon Musk 埃隆马斯克 特斯拉Space X 传记作家沃尔特・艾萨克森作品 Walt,155.00,740条评论,WALTER ISAACSON,2023-09-12,Simon & Schuster
 英文原版 哈利波特与火焰杯Harry Potter and the Goblet of Fire 哈利波特4 英国版(N,34.00,2355条评论,"Rowling, J. K.",2014-09-01,Bloomsbury Publishing PLC
 现货 杀死一只知更鸟 英文原版 To Kill a Mockingbird Harper Lee 文学经典 普利策奖得奖,29.00,1734条评论,"Lee, Harper",2014-02-01,Grand Central Publishing
 【中商原版】Dune 沙丘六部曲 全套 系列1-6套装 英文原版 经典科幻小说 星云奖雨果奖作品 Frank Herbe,255.00,696条评论,Frank Herbert,2019-06-01,Ace Books
 英文原版 Wrinkle in Time 时间的皱纹 1963年纽伯瑞金奖小说,28.00,4360条评论,Madeleine L'Engle,2008-05-01,Square Fish
 【中商原版】Moby-Dick 英文原版小说 白鲸 赫尔曼 麦尔维尔 进口英文原版书籍 世界经典名著小说,14.00,1895条评论,[,2003-01-01,Bantam Classics
 麦田里的守望者 英文原版书 正版 The Catcher in the Rye 塞林格代表作 美国文学经典 青春成长 外,37.00,8361条评论,"Salinger, J. D.",1991-03-01,Little BrownandCompany
 【中商原版】英文原版 哈利波特与死亡圣器 Harry Potter and the Deathly Hallows 哈利,40.00,2757条评论,"Rowling, J. K.",2014-09-01,Bloomsbury Publishing PLC
 英文原版 Fifty Great Short Stories 50篇著名短篇小说,25.00,751条评论,Milton Crane,1983-08-01,Bantam Classics
 【中商原版】英文原版 The Adventures of Tom Sawyer 汤姆索亚历险记 马克吐温,21.00,1793条评论,Mark Twain,1995-01-01,Bantam Classics
 【中商原版】英文原版 哈利波特与混血王子 Harry Potter and the Half-Blood Prince,34.00,1696条评论,"Rowling, J. K.",2014-09-01,Bloomsbury Publishing PLC
 现货 东方快车列车谋杀案 英文原版 Murder on the Orient Express 阿加莎・克里斯蒂 经典作品,27.80,378条评论,"Christie, Agatha",2001-06-01,HarperCollins Publishers
 【中商原版】简爱 英文原版Jane Eyre世界名著小说 100年英文经典,20.00,1578条评论,Charlotte Bronte,1992-05-08,Bantam Classics
 The Giver 记忆传授人 赐予者 英文原版 （电影版）科幻小说 乌托邦文学 Lois Lowry 洛伊丝劳里,36.00,2923条评论,"Lowry, Lois",2014-07-31,HarperCollinsChildren’sBooks
 沙丘1 英文原版经典小说 Dune 星云奖雨果奖得奖作品 Frank Herbert ACE 科幻文学 【中商原版】,43.00,997条评论,Frank Herbert,1990-08-31,Ace
 指环王 魔戒三部曲 The Lord of the Rings 英文原版 世界经典文学名著 英语读物 学生课外阅读 弘书,107.00,157条评论,J. R. R Tolkien,2021-04-01,Harper Collins
 【中商原版】芒果街上的小屋 英文原版the house on mango street 进口原版 芒果街的小屋,34.00,7683条评论,桑德拉希斯内罗丝 (Sandra Cisneros),1991-04-03,Vintage
 现货 一九八四 1984 英文原版 Nineteen Eighty-Four 奥威尔 George Orwell 反乌托,22.50,403条评论,"Orwell, George|Fromm, Erich",2014-02-01,Signet Classics
 【中商原版】野性的呼唤英文原版小说 英文版 Call Of The Wild/Whitefang 英文原版书 杰克伦敦,19.90,3432条评论,Jack London,1991-02-01,Bantam Classics
 小妇人 英文原版小说 Little Women Alma Classics 世界经典名著儿童文学小说 附测试题 路易莎梅,30.80,339条评论,Louisa May Alcott,2019-06-23,Alma Classics
 【中商原版】歌剧魅影 英文原版小说 英文版 The Phantom of the Opera加斯通勒 英文原版书 进口原,17.00,1449条评论,Bantam Classics,1990-01-01,Bantam Classics
 【中商原版】所有我们看不见的光英文原版小说 英文版 All the Light We Cannot See 普利策奖 英,58.00,1899条评论,Anthony Doerr,2017-04-04,Simon & Schuster US
 欧亨利100篇短故事 英文原版小说故事 100 Selected Stories O.Henry 英文原版书 英语学习阅,23.50,237条评论,Henry O.,1995-03-31,Wordsworth
 【中商原版】英文原版 哈利波特与凤凰社 Harry Potter and the Order of the Phoeni,43.00,1344条评论,"Rowling, J. K.",2014-09-01,Bloomsbury Publishing PLC
 【包邮】Wonder 奇迹男孩 英文版原版小说 电影原著 全英语进口外文书籍儿童青少年读物 搭哈利波特flipped怦然,33.00,4636条评论,R. J. Palacio,2014-09-10,Knopf
 预售 【中商原版】爱德华的奇妙之旅 英文原版《来自星星的你》都教授枕边书The Miraculous Journey o,41.00,4073条评论,"DiCamillo,Kate",2009-01-01,Candlewick Press
 【中商原版】教父 英文原版 The Godfather Mario Puzo Arrow 出版社 是个爷们儿就应该看过教,41.00,1665条评论,Mario Puzo,2009-07-02,Arrow
 华研原版 月亮与六便士 英文原版 The Moon and Sixpence 月亮和六便士 毛姆代表作 英国莫泊桑 现实,45.00,391条评论,William Somerset Maugham,1999-07-09,Vintage
 【中商原版】亚当.斯密：国富论 英文原版 The Wealth of Nations 西方经济学理论 经济学说 宏观经济,31.00,2244条评论,亚当・斯密 (Adam Smith),2003-03-04,Bantam Classics
 预售 【中商原版】匡灵秀 巴别塔 通天塔 科幻星云奖小说 奇幻历史小说 英文原版 Babel 丽贝卡 F 匡 Rebec,56.00,148条评论,R.F. Kuang,2022-09-01,Harper Collins UK
 【中商原版】远大前程 伟大前程 英文原版小说 Great Expectations 经典名著小说书籍 狄更斯经典名著 双,21.00,5042条评论,tanley Weintrau,2009-02-03,Signet Classics
 【中商原版】马基雅维利 君主论 君王论 英文原版 The Prince Niccolo Machiavelli 政治学理,20.00,621条评论,Signet,2014-02-18,Signet
 现货 穿条纹睡衣的男孩 约翰・伯恩 英文原版 The Boy in the Striped Pyjamas 二战题材 青,38.00,145条评论,John Boyne,2008-02-16,未知
 【中商原版】老人与海英文原版小说 英文版The Old Man and the Sea 英文原版书 正版 海明威 经典小,30.00,5969条评论,"Hemingway, Ernest",1999-02-01,Arrow
 现货 巴别塔 通天塔 科幻星云奖获奖小说 英国国家图书奖获奖小说 华裔科幻作家匡灵秀 R.F. Kuang 英文原版 B,63.00,69条评论,R.F. Kuang (Author),2023-09-28,HarperVoyager
 【中商原版】蝇王 Lord of the Flies苍蝇王 英文原版 威廉・戈尔丁著 正版小说,36.00,4395条评论,威廉 戈尔丁 (William Golding),2006-10-31,PENGUIN Group
 小王子英文原版小说 插画版The Little Prince英语进口外文书籍正版原著搭夏洛特的网哈利波特追风筝的人奇迹男,33.00,604条评论,Antoine de Saint-Exupéry,2000-06-03,Penguin
 【中商原版】哈利波特与魔法石1英文版原版小说 Harry Potter and the Sorcerer's Stone,38.00,6316条评论,J.K. Rowling,1999-09-01,Scholastic Paperbacks
 【包邮】flipped怦然心动英文原版英语原版原著小说进口书籍搭wonder奇迹男孩傲慢与偏见追风筝的人相约星期二哈利波,36.00,5603条评论,Wendelin Van Draanen,2003-07-05,Ember
 福尔摩斯探案全集 英文原版小说 2册全套 Sherlock Holmes 侦探小说悬疑推理 卷福夏洛克 柯南道尔 经典名,23.00,714条评论,The Complete Sherlock Holmes,1986-10-01,Bantam USA
 【中商原版】安妮日记（又名：一个年轻女孩的日记） 英文原版 The Diary of a Young Girl 安妮弗兰,28.00,2960条评论,安妮・弗兰克 (Anne Frank),1993-02-03,Bantam Books
 预售 英文原版 Lord of the Flies 蝇王 威廉・戈尔丁著,34.00,250条评论,威廉戈尔丁 (William Golding),2001-12-07,Penguin Putnam Inc USA
 现货 一如既往：永不改变的指南 摩根・豪泽尔 Morgan Housel 《金钱心理学》作者 投资计划 英文原版 Sam,96.00,55条评论,Morgan Housel,2023-11-07,Penguin Publishing Group
